category,model,condition,img_auroc,pix_auroc
bottle,PaDiM,clean,0.9992,0.9781
bottle,PaDiM,gaussian_noise_sev1,0.9984,0.977
bottle,PaDiM,gaussian_noise_sev2,0.9984,0.9745
bottle,PaDiM,gaussian_noise_sev3,0.9976,0.9712
bottle,PaDiM,gaussian_noise_sev4,0.9587,0.9506
bottle,PaDiM,gaussian_noise_sev5,0.8278,0.8641
bottle,PaDiM,gaussian_blur_sev1,0.9992,0.9782
bottle,PaDiM,gaussian_blur_sev2,0.9992,0.9782
bottle,PaDiM,gaussian_blur_sev3,0.9992,0.9782
bottle,PaDiM,gaussian_blur_sev4,0.9984,0.978
bottle,PaDiM,gaussian_blur_sev5,0.9976,0.9773
bottle,PaDiM,brightness_change_sev1,0.9984,0.98
bottle,PaDiM,brightness_change_sev2,0.9984,0.9813
bottle,PaDiM,brightness_change_sev3,0.9984,0.9822
bottle,PaDiM,brightness_change_sev4,0.9944,0.9819
bottle,PaDiM,brightness_change_sev5,0.8119,0.9576
bottle,PaDiM,jpeg_compression_sev1,0.9992,0.978
bottle,PaDiM,jpeg_compression_sev2,0.9984,0.9779
bottle,PaDiM,jpeg_compression_sev3,0.9984,0.9777
bottle,PaDiM,jpeg_compression_sev4,0.9984,0.9756
bottle,PaDiM,jpeg_compression_sev5,0.9635,0.967
bottle,PatchCore,clean,1.0,0.961
bottle,PatchCore,gaussian_noise_sev1,1.0,0.9595
bottle,PatchCore,gaussian_noise_sev2,0.9992,0.9578
bottle,PatchCore,gaussian_noise_sev3,0.9984,0.9545
bottle,PatchCore,gaussian_noise_sev4,0.9865,0.9469
bottle,PatchCore,gaussian_noise_sev5,1.0,0.9388
bottle,PatchCore,gaussian_blur_sev1,1.0,0.961
bottle,PatchCore,gaussian_blur_sev2,1.0,0.961
bottle,PatchCore,gaussian_blur_sev3,1.0,0.9613
bottle,PatchCore,gaussian_blur_sev4,0.9992,0.9613
bottle,PatchCore,gaussian_blur_sev5,0.9984,0.961
bottle,PatchCore,brightness_change_sev1,1.0,0.9625
bottle,PatchCore,brightness_change_sev2,0.9992,0.9632
bottle,PatchCore,brightness_change_sev3,0.9992,0.9645
bottle,PatchCore,brightness_change_sev4,0.9976,0.9663
bottle,PatchCore,brightness_change_sev5,0.9794,0.9644
bottle,PatchCore,jpeg_compression_sev1,1.0,0.9607
bottle,PatchCore,jpeg_compression_sev2,0.9992,0.9603
bottle,PatchCore,jpeg_compression_sev3,1.0,0.9597
bottle,PatchCore,jpeg_compression_sev4,0.9952,0.9564
bottle,PatchCore,jpeg_compression_sev5,0.9881,0.9459
capsule,PaDiM,clean,0.8464,0.9735
capsule,PaDiM,gaussian_noise_sev1,0.8373,0.9687
capsule,PaDiM,gaussian_noise_sev2,0.8109,0.9582
capsule,PaDiM,gaussian_noise_sev3,0.781,0.9406
capsule,PaDiM,gaussian_noise_sev4,0.7355,0.9355
capsule,PaDiM,gaussian_noise_sev5,0.6075,0.9361
capsule,PaDiM,gaussian_blur_sev1,0.8484,0.9737
capsule,PaDiM,gaussian_blur_sev2,0.8452,0.9726
capsule,PaDiM,gaussian_blur_sev3,0.8444,0.9708
capsule,PaDiM,gaussian_blur_sev4,0.8349,0.9708
capsule,PaDiM,gaussian_blur_sev5,0.8006,0.967
capsule,PaDiM,brightness_change_sev1,0.8664,0.9807
capsule,PaDiM,brightness_change_sev2,0.8612,0.981
capsule,PaDiM,brightness_change_sev3,0.8795,0.9839
capsule,PaDiM,brightness_change_sev4,0.8508,0.9829
capsule,PaDiM,brightness_change_sev5,0.8121,0.9743
capsule,PaDiM,jpeg_compression_sev1,0.8428,0.9731
capsule,PaDiM,jpeg_compression_sev2,0.8416,0.971
capsule,PaDiM,jpeg_compression_sev3,0.842,0.9655
capsule,PaDiM,jpeg_compression_sev4,0.8285,0.9515
capsule,PaDiM,jpeg_compression_sev5,0.414,0.7797
capsule,PatchCore,clean,0.8628,0.9529
capsule,PatchCore,gaussian_noise_sev1,0.86,0.9518
capsule,PatchCore,gaussian_noise_sev2,0.8305,0.9547
capsule,PatchCore,gaussian_noise_sev3,0.7954,0.9565
capsule,PatchCore,gaussian_noise_sev4,0.8057,0.9609
capsule,PatchCore,gaussian_noise_sev5,0.6897,0.9662
capsule,PatchCore,gaussian_blur_sev1,0.8596,0.953
capsule,PatchCore,gaussian_blur_sev2,0.8588,0.9507
capsule,PatchCore,gaussian_blur_sev3,0.8412,0.9472
capsule,PatchCore,gaussian_blur_sev4,0.8293,0.9514
capsule,PatchCore,gaussian_blur_sev5,0.7942,0.955
capsule,PatchCore,brightness_change_sev1,0.8109,0.9662
capsule,PatchCore,brightness_change_sev2,0.8145,0.969
capsule,PatchCore,brightness_change_sev3,0.8404,0.9758
capsule,PatchCore,brightness_change_sev4,0.842,0.9785
capsule,PatchCore,brightness_change_sev5,0.8093,0.9717
capsule,PatchCore,jpeg_compression_sev1,0.8648,0.9537
capsule,PatchCore,jpeg_compression_sev2,0.8648,0.9515
capsule,PatchCore,jpeg_compression_sev3,0.8317,0.9472
capsule,PatchCore,jpeg_compression_sev4,0.7786,0.9329
capsule,PatchCore,jpeg_compression_sev5,0.5509,0.7694
carpet,PaDiM,clean,0.9258,0.9827
carpet,PaDiM,gaussian_noise_sev1,0.9201,0.9827
carpet,PaDiM,gaussian_noise_sev2,0.9258,0.9823
carpet,PaDiM,gaussian_noise_sev3,0.9089,0.9813
carpet,PaDiM,gaussian_noise_sev4,0.9262,0.9808
carpet,PaDiM,gaussian_noise_sev5,0.8712,0.9736
carpet,PaDiM,gaussian_blur_sev1,0.9266,0.9827
carpet,PaDiM,gaussian_blur_sev2,0.9302,0.9827
carpet,PaDiM,gaussian_blur_sev3,0.9354,0.9823
carpet,PaDiM,gaussian_blur_sev4,0.931,0.9812
carpet,PaDiM,gaussian_blur_sev5,0.9009,0.9768
carpet,PaDiM,brightness_change_sev1,0.8824,0.9813
carpet,PaDiM,brightness_change_sev2,0.8748,0.9821
carpet,PaDiM,brightness_change_sev3,0.7576,0.9738
carpet,PaDiM,brightness_change_sev4,0.5265,0.9436
carpet,PaDiM,brightness_change_sev5,0.4843,0.8757
carpet,PaDiM,jpeg_compression_sev1,0.9262,0.9828
carpet,PaDiM,jpeg_compression_sev2,0.9262,0.9826
carpet,PaDiM,jpeg_compression_sev3,0.9246,0.9825
carpet,PaDiM,jpeg_compression_sev4,0.9258,0.9821
carpet,PaDiM,jpeg_compression_sev5,0.9117,0.9801
carpet,PatchCore,clean,0.87,0.9571
carpet,PatchCore,gaussian_noise_sev1,0.8712,0.9567
carpet,PatchCore,gaussian_noise_sev2,0.8587,0.9561
carpet,PatchCore,gaussian_noise_sev3,0.8664,0.9546
carpet,PatchCore,gaussian_noise_sev4,0.8535,0.9505
carpet,PatchCore,gaussian_noise_sev5,0.8026,0.9428
carpet,PatchCore,gaussian_blur_sev1,0.8712,0.9572
carpet,PatchCore,gaussian_blur_sev2,0.8744,0.9573
carpet,PatchCore,gaussian_blur_sev3,0.886,0.9574
carpet,PatchCore,gaussian_blur_sev4,0.8965,0.9571
carpet,PatchCore,gaussian_blur_sev5,0.8921,0.949
carpet,PatchCore,brightness_change_sev1,0.8347,0.952
carpet,PatchCore,brightness_change_sev2,0.8098,0.9478
carpet,PatchCore,brightness_change_sev3,0.5819,0.9147
carpet,PatchCore,brightness_change_sev4,0.386,0.8534
carpet,PatchCore,brightness_change_sev5,0.3451,0.7783
carpet,PatchCore,jpeg_compression_sev1,0.8696,0.9569
carpet,PatchCore,jpeg_compression_sev2,0.8772,0.957
carpet,PatchCore,jpeg_compression_sev3,0.8648,0.9561
carpet,PatchCore,jpeg_compression_sev4,0.8692,0.9549
carpet,PatchCore,jpeg_compression_sev5,0.8909,0.9553
