category,model,condition,img_auroc,pix_auroc
bottle,PaDiM,clean,0.9984,0.979
bottle,PaDiM,gaussian_noise_sev1,0.9984,0.9769
bottle,PaDiM,gaussian_noise_sev2,0.9873,0.9703
bottle,PaDiM,gaussian_noise_sev3,0.9603,0.9449
bottle,PaDiM,gaussian_noise_sev4,0.6976,0.8597
bottle,PaDiM,gaussian_noise_sev5,0.6397,0.7172
bottle,PaDiM,gaussian_blur_sev1,0.9984,0.979
bottle,PaDiM,gaussian_blur_sev2,0.9992,0.9791
bottle,PaDiM,gaussian_blur_sev3,0.9992,0.979
bottle,PaDiM,gaussian_blur_sev4,0.9984,0.9788
bottle,PaDiM,gaussian_blur_sev5,0.9976,0.9781
bottle,PaDiM,brightness_change_sev1,0.9992,0.9794
bottle,PaDiM,brightness_change_sev2,0.9968,0.9775
bottle,PaDiM,brightness_change_sev3,0.9675,0.9713
bottle,PaDiM,brightness_change_sev4,0.8429,0.96
bottle,PaDiM,brightness_change_sev5,0.5198,0.8918
bottle,PaDiM,jpeg_compression_sev1,0.9992,0.9788
bottle,PaDiM,jpeg_compression_sev2,0.9984,0.9785
bottle,PaDiM,jpeg_compression_sev3,0.9984,0.9783
bottle,PaDiM,jpeg_compression_sev4,0.9976,0.9757
bottle,PaDiM,jpeg_compression_sev5,0.9651,0.9656
bottle,PatchCore,clean,1.0,0.9617
bottle,PatchCore,gaussian_noise_sev1,1.0,0.9591
bottle,PatchCore,gaussian_noise_sev2,1.0,0.9545
bottle,PatchCore,gaussian_noise_sev3,0.9968,0.9501
bottle,PatchCore,gaussian_noise_sev4,0.9929,0.9442
bottle,PatchCore,gaussian_noise_sev5,0.9825,0.9388
bottle,PatchCore,gaussian_blur_sev1,1.0,0.9618
bottle,PatchCore,gaussian_blur_sev2,1.0,0.9618
bottle,PatchCore,gaussian_blur_sev3,1.0,0.9622
bottle,PatchCore,gaussian_blur_sev4,0.9992,0.9622
bottle,PatchCore,gaussian_blur_sev5,0.9984,0.9618
bottle,PatchCore,brightness_change_sev1,1.0,0.9629
bottle,PatchCore,brightness_change_sev2,1.0,0.9639
bottle,PatchCore,brightness_change_sev3,0.9833,0.965
bottle,PatchCore,brightness_change_sev4,0.9944,0.9664
bottle,PatchCore,brightness_change_sev5,0.9794,0.9629
bottle,PatchCore,jpeg_compression_sev1,1.0,0.9614
bottle,PatchCore,jpeg_compression_sev2,1.0,0.9608
bottle,PatchCore,jpeg_compression_sev3,1.0,0.9601
bottle,PatchCore,jpeg_compression_sev4,1.0,0.9563
bottle,PatchCore,jpeg_compression_sev5,0.9865,0.9449
capsule,PaDiM,clean,0.8712,0.9761
capsule,PaDiM,gaussian_noise_sev1,0.8548,0.9741
capsule,PaDiM,gaussian_noise_sev2,0.8492,0.9647
capsule,PaDiM,gaussian_noise_sev3,0.7934,0.9485
capsule,PaDiM,gaussian_noise_sev4,0.5744,0.9276
capsule,PaDiM,gaussian_noise_sev5,0.6466,0.9146
capsule,PaDiM,gaussian_blur_sev1,0.8728,0.9763
capsule,PaDiM,gaussian_blur_sev2,0.8684,0.9755
capsule,PaDiM,gaussian_blur_sev3,0.8632,0.9739
capsule,PaDiM,gaussian_blur_sev4,0.84,0.9733
capsule,PaDiM,gaussian_blur_sev5,0.7926,0.9676
capsule,PaDiM,brightness_change_sev1,0.846,0.8851
capsule,PaDiM,brightness_change_sev2,0.7922,0.936
capsule,PaDiM,brightness_change_sev3,0.7722,0.959
capsule,PaDiM,brightness_change_sev4,0.7012,0.9599
capsule,PaDiM,brightness_change_sev5,0.7343,0.9577
capsule,PaDiM,jpeg_compression_sev1,0.8684,0.9758
capsule,PaDiM,jpeg_compression_sev2,0.8708,0.9739
capsule,PaDiM,jpeg_compression_sev3,0.856,0.9696
capsule,PaDiM,jpeg_compression_sev4,0.8508,0.9596
capsule,PaDiM,jpeg_compression_sev5,0.4707,0.804
capsule,PatchCore,clean,0.87,0.9586
capsule,PatchCore,gaussian_noise_sev1,0.8596,0.9575
